"filename", "language", "JSON", "mcfunction", "comment", "blank", "total"
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\full-reset.mcfunction", "mcfunction", 0, 4, 0, 0, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\give-time-warper.mcfunction", "mcfunction", 0, 1, 0, 0, 1
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-characters.mcfunction", "mcfunction", 0, 214, 11, 8, 233
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-displays.mcfunction", "mcfunction", 0, 126, 22, 17, 165
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-interactions.mcfunction", "mcfunction", 0, 57, 17, 17, 91
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-misc.mcfunction", "mcfunction", 0, 17, 9, 8, 34
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\setup-position.mcfunction", "mcfunction", 0, 4, 0, 0, 4
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\skip-to\after-elevator.mcfunction", "mcfunction", 0, 11, 0, 0, 11
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\skip-to\before-chase.mcfunction", "mcfunction", 0, 14, 0, 0, 14
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\minecraft\tags\functions\load.json", "JSON", 3, 0, 0, 0, 3
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\minecraft\tags\functions\tick.json", "JSON", 3, 0, 0, 0, 3
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\death.mcfunction", "mcfunction", 0, 85, 40, 5, 130
"c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\load.mcfunction", "mcfunction", 0, 1, 1, 1, 3
